NDC,PRODUCTTYPENAME,PROPRIETARYNAME,PROPRIETARYNAMESUFFIX,NONPROPRIETARYNAME,DOSAGEFORMNAME,ROUTENAME,STARTMARKETINGDATE,ENDMARKETINGDATE,MARKETINGCATEGORYNAME,APPLICATIONNUMBER,LABELERNAME,SUBSTANCENAME,ACTIVE_NUMERATOR_STRENGTH,ACTIVE_INGRED_UNIT,PHARM_CLASSES,DEASCHEDULE,NDC_EXCLUDE_FLAG,LISTING_RECORD_CERTIFIED_THROUGH,PRIMARY_ICD10,ALL_ICD10_MAPPINGS,MAPPING_CONFIDENCE
0113-0029,HUMAN OTC DRUG,Good Sense Nicotine,,Nicotine Polacrilex,"GUM, CHEWING",ORAL,20050506,,ANDA,ANDA076775,L. Perrigo Company,NICOTINE,2,mg/1,"Cholinergic Nicotinic Agonist [EPC], Nicotine [CS]",,N,20261231,Z51.81,"[{""icd10_code"":""Z51.81"",""description"":""Encounter for therapeutic drug level monitoring"",""confidence"":0.1,""context"":""generic drug therapy""}]",0.10
0113-0032,HUMAN OTC DRUG,Good Sense Dual Action Complete,,"famotidine, calcium carbonate and magnesium hydroxide","TABLET, CHEWABLE",ORAL,20160106,,ANDA,ANDA077355,L. Perrigo Company,CALCIUM CARBONATE; FAMOTIDINE; MAGNESIUM HYDROXIDE,800; 10; 165,mg/1; mg/1; mg/1,"Calculi Dissolution Agent [EPC], Histamine H2 Receptor Antagonists [MoA], Histamine-2 Receptor Antagonist [EPC], Increased Large Intestinal Motility [PE], Inhibition Large Intestine Fluid/Electrolyte Absorption [PE], Inhibition Small Intestine Fluid/Electrolyte Absorption [PE], Magnesium Ion Exchange Activity [MoA], Osmotic Activity [MoA], Osmotic Laxative [EPC], Stimulation Large Intestine Fluid/Electrolyte Secretion [PE]",,N,20251231,Z51.81,"[{""icd10_code"":""Z51.81"",""description"":""Encounter for therapeutic drug level monitoring"",""confidence"":0.1,""context"":""generic drug therapy""}]",0.10
0113-0050,HUMAN OTC DRUG,good sense ibuprofen pm,,"diphenhydramine citrate, ibuprofen","TABLET, FILM COATED",ORAL,20090305,,ANDA,ANDA079113,L. Perrigo Company,DIPHENHYDRAMINE CITRATE; IBUPROFEN,38; 200,mg/1; mg/1,"Anti-Inflammatory Agents, Non-Steroidal [CS], Cyclooxygenase Inhibitors [MoA], Histamine H1 Receptor Antagonists [MoA], Histamine-1 Receptor Antagonist [EPC], Nonsteroidal Anti-inflammatory Drug [EPC]",,N,20261231,M79.3,"[{""icd10_code"":""M79.3"",""description"":""Panniculitis, unspecified"",""confidence"":0.3,""context"":""general pain/inflammation""},{""icd10_code"":""M25.50"",""description"":""Pain in unspecified joint"",""confidence"":0.25,""context"":""joint pain""},{""icd10_code"":""R50.9"",""description"":""Fever, unspecified"",""confidence"":0.2,""context"":""fever reduction""},{""icd10_code"":""G43.909"",""description"":""Migraine, unspecified, not intractable, without status migrainosus"",""confidence"":0.15,""context"":""headache""},{""icd10_code"":""M79.1"",""description"":""Myalgia"",""confidence"":0.1,""context"":""muscle pain""}]",0.30
0113-0052,HUMAN OTC DRUG,good sense sleep time,,Diphenhydramine HCl,"CAPSULE, LIQUID FILLED",ORAL,20140206,20250731,OTC MONOGRAPH DRUG,M010,L. Perrigo Company,DIPHENHYDRAMINE HYDROCHLORIDE,25,mg/1,"Histamine H1 Receptor Antagonists [MoA], Histamine-1 Receptor Antagonist [EPC]",,N,,Z51.81,"[{""icd10_code"":""Z51.81"",""description"":""Encounter for therapeutic drug level monitoring"",""confidence"":0.1,""context"":""generic drug therapy""}]",0.10
0113-0053,HUMAN OTC DRUG,Good Sense Nicotine,,Nicotine Polacrilex,"GUM, CHEWING",ORAL,20170427,,ANDA,ANDA206393,L. Perrigo Company,NICOTINE,4,mg/1,"Cholinergic Nicotinic Agonist [EPC], Nicotine [CS]",,N,20251231,Z51.81,"[{""icd10_code"":""Z51.81"",""description"":""Encounter for therapeutic drug level monitoring"",""confidence"":0.1,""context"":""generic drug therapy""}]",0.10
0113-0054,HUMAN OTC DRUG,Good Sense Suphedrine,12 Hour,Pseudoephedrine Hydrochloride,"TABLET, FILM COATED, EXTENDED RELEASE",ORAL,19991029,,ANDA,ANDA075153,L. Perrigo Company,PSEUDOEPHEDRINE HYDROCHLORIDE,120,mg/1,"Adrenergic alpha-Agonists [MoA], alpha-Adrenergic Agonist [EPC]",,N,20251231,Z51.81,"[{""icd10_code"":""Z51.81"",""description"":""Encounter for therapeutic drug level monitoring"",""confidence"":0.1,""context"":""generic drug therapy""}]",0.10
0113-0056,HUMAN OTC DRUG,good sense night time,,"Acetaminophen, Dextromethorphan HBr, Doxylamine succinate","CAPSULE, LIQUID FILLED",ORAL,20140530,,OTC MONOGRAPH DRUG,M012,L. Perrigo Company,ACETAMINOPHEN; DEXTROMETHORPHAN HYDROBROMIDE; DOXYLAMINE SUCCINATE,325; 15; 6.25,mg/1; mg/1; mg/1,"Antihistamine [EPC], Histamine Receptor Antagonists [MoA], Sigma-1 Agonist [EPC], Sigma-1 Receptor Agonists [MoA], Uncompetitive N-methyl-D-aspartate Receptor Antagonist [EPC], Uncompetitive NMDA Receptor Antagonists [MoA]",,N,20251231,Z51.81,"[{""icd10_code"":""Z51.81"",""description"":""Encounter for therapeutic drug level monitoring"",""confidence"":0.1,""context"":""generic drug therapy""}]",0.10
0113-0057,HUMAN OTC DRUG,Good Sense ibuprofen,infants,ibuprofen,SUSPENSION,ORAL,20000208,,ANDA,ANDA075217,L. Perrigo Company,IBUPROFEN,50,mg/1.25mL,"Anti-Inflammatory Agents, Non-Steroidal [CS], Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Drug [EPC]",,N,20251231,M79.3,"[{""icd10_code"":""M79.3"",""description"":""Panniculitis, unspecified"",""confidence"":0.3,""context"":""general pain/inflammation""},{""icd10_code"":""M25.50"",""description"":""Pain in unspecified joint"",""confidence"":0.25,""context"":""joint pain""},{""icd10_code"":""R50.9"",""description"":""Fever, unspecified"",""confidence"":0.2,""context"":""fever reduction""},{""icd10_code"":""G43.909"",""description"":""Migraine, unspecified, not intractable, without status migrainosus"",""confidence"":0.15,""context"":""headache""},{""icd10_code"":""M79.1"",""description"":""Myalgia"",""confidence"":0.1,""context"":""muscle pain""}]",0.30
0113-0058,HUMAN OTC DRUG,Good Sense Omeprazole and Sodium Bicarbonate,,"Omeprazole, sodium bicarbonate","CAPSULE, GELATIN COATED",ORAL,20170619,,ANDA,ANDA201361,L. Perrigo Company,OMEPRAZOLE; SODIUM BICARBONATE,20; 1100,mg/1; mg/1,"Cytochrome P450 2C19 Inhibitors [MoA], Increased Large Intestinal Motility [PE], Inhibition Large Intestine Fluid/Electrolyte Absorption [PE], Osmotic Activity [MoA], Osmotic Laxative [EPC], Proton Pump Inhibitor [EPC], Proton Pump Inhibitors [MoA]",,N,20251231,K21.9,"[{""icd10_code"":""K21.9"",""description"":""Gastro-esophageal reflux disease without esophagitis"",""confidence"":0.5,""context"":""GERD""},{""icd10_code"":""K25.9"",""description"":""Gastric ulcer, unspecified as acute or chronic, without hemorrhage or perforation"",""confidence"":0.25,""context"":""gastric ulcer""},{""icd10_code"":""K27.9"",""description"":""Peptic ulcer, site unspecified, unspecified as acute or chronic, without hemorrhage or perforation"",""confidence"":0.15,""context"":""peptic ulcer""},{""icd10_code"":""K30"",""description"":""Functional dyspepsia"",""confidence"":0.1,""context"":""dyspepsia""}]",0.50
0113-0081,HUMAN OTC DRUG,Good Sense Miconazole 3,,Miconazole nitrate,KIT,,20070402,,ANDA,ANDA075329,L. Perrigo Company,,,,,,N,20261231,Z51.81,"[{""icd10_code"":""Z51.81"",""description"":""Encounter for therapeutic drug level monitoring"",""confidence"":0.1,""context"":""generic drug therapy""}]",0.10
