NDC,PRODUCTTYPENAME,PROPRIETARYNAME,PROPRIETARYNAMESUFFIX,NONPROPRIETARYNAME,DOSAGEFORMNAME,ROUTENAME,STARTMARKETINGDATE,ENDMARKETINGDATE,MARKETINGCATEGORYNAME,APPLICATIONNUMBER,LABELERNAME,SUBSTANCENAME,ACTIVE_NUMERATOR_STRENGTH,ACTIVE_INGRED_UNIT,PHARM_CLASSES,DEASCHEDULE,NDC_EXCLUDE_FLAG,LISTING_RECORD_CERTIFIED_THROUGH,PRIMARY_ICD10,ALL_ICD10_MAPPINGS,MAPPING_CONFIDENCE
0002-0152,HUMAN PRESCRIPTION DRUG,Zepbound,,tirzepatide,"INJECTION, SOLUTION",SUBCUTANEOUS,20231108,,NDA,NDA217806,Eli Lilly and Company,TIRZEPATIDE,2.5,mg/.5mL,"G-Protein-linked Receptor Interactions [MoA], GLP-1 Receptor Agonist [EPC], Glucagon-like Peptide-1 (GLP-1) Agonists [MoA], Glucose-dependent Insulinotropic Polypeptide Receptor Agonist [EPC]",,N,20261231,E11.9,"[{""icd10_code"":""E11.9"",""description"":""Type 2 diabetes mellitus without complications"",""confidence"":0.7,""context"":""diabetes indication""},{""icd10_code"":""E66.9"",""description"":""Obesity, unspecified"",""confidence"":0.25,""context"":""weight management (Zepbound)""},{""icd10_code"":""E11.69"",""description"":""Type 2 diabetes with other specified complication"",""confidence"":0.05,""context"":""complex diabetes""}]",0.70
0002-0213,HUMAN OTC DRUG,Humulin,R,Insulin human,"INJECTION, SOLUTION",PARENTERAL,19830627,,BLA,BLA018780,Eli Lilly and Company,INSULIN HUMAN,100,[iU]/mL,"Insulin [CS], Insulin [EPC]",,N,20251231,E11.9,"[{""icd10_code"":""E10.9"",""description"":""Type 1 diabetes mellitus without complications"",""confidence"":0.3,""context"":""insulin-dependent""},{""icd10_code"":""E11.9"",""description"":""Type 2 diabetes mellitus without complications"",""confidence"":0.6,""context"":""most common""},{""icd10_code"":""E13.9"",""description"":""Other specified diabetes mellitus without complications"",""confidence"":0.1,""context"":""secondary diabetes""}]",0.60
0002-0243,HUMAN PRESCRIPTION DRUG,Zepbound,,tirzepatide,"INJECTION, SOLUTION",SUBCUTANEOUS,20231108,,NDA,NDA217806,Eli Lilly and Company,TIRZEPATIDE,5,mg/.5mL,"G-Protein-linked Receptor Interactions [MoA], GLP-1 Receptor Agonist [EPC], Glucagon-like Peptide-1 (GLP-1) Agonists [MoA], Glucose-dependent Insulinotropic Polypeptide Receptor Agonist [EPC]",,N,20261231,E11.9,"[{""icd10_code"":""E11.9"",""description"":""Type 2 diabetes mellitus without complications"",""confidence"":0.7,""context"":""diabetes indication""},{""icd10_code"":""E66.9"",""description"":""Obesity, unspecified"",""confidence"":0.25,""context"":""weight management (Zepbound)""},{""icd10_code"":""E11.69"",""description"":""Type 2 diabetes with other specified complication"",""confidence"":0.05,""context"":""complex diabetes""}]",0.70
0002-0800,HUMAN PRESCRIPTION DRUG,Sterile Diluent,,diluent,"INJECTION, SOLUTION",SUBCUTANEOUS,19870710,,BLA,BLA020563,Eli Lilly and Company,WATER,1,mL/mL,,,N,20261231,Z51.81,"[{""icd10_code"":""Z51.81"",""description"":""Encounter for therapeutic drug level monitoring"",""confidence"":0.1,""context"":""generic drug therapy""}]",0.10
0002-1152,HUMAN PRESCRIPTION DRUG,MOUNJARO,,tirzepatide,"INJECTION, SOLUTION",SUBCUTANEOUS,20230728,,NDA,NDA215866,Eli Lilly and Company,TIRZEPATIDE,2.5,mg/.5mL,"G-Protein-linked Receptor Interactions [MoA], GLP-1 Receptor Agonist [EPC], Glucagon-like Peptide-1 (GLP-1) Agonists [MoA], Glucose-dependent Insulinotropic Polypeptide Receptor Agonist [EPC]",,N,20261231,E11.9,"[{""icd10_code"":""E11.9"",""description"":""Type 2 diabetes mellitus without complications"",""confidence"":0.7,""context"":""diabetes indication""},{""icd10_code"":""E66.9"",""description"":""Obesity, unspecified"",""confidence"":0.25,""context"":""weight management (Zepbound)""},{""icd10_code"":""E11.69"",""description"":""Type 2 diabetes with other specified complication"",""confidence"":0.05,""context"":""complex diabetes""}]",0.70
0002-1200,HUMAN PRESCRIPTION DRUG,Amyvid,,Florbetapir F 18,"INJECTION, SOLUTION",INTRAVENOUS,20120601,,NDA,NDA202008,Eli Lilly and Company,FLORBETAPIR F-18,51,mCi/mL,"Positron Emitting Activity [MoA], Radioactive Diagnostic Agent [EPC]",,N,20251231,Z51.81,"[{""icd10_code"":""Z51.81"",""description"":""Encounter for therapeutic drug level monitoring"",""confidence"":0.1,""context"":""generic drug therapy""}]",0.10
0002-1214,HUMAN PRESCRIPTION DRUG,Zepbound,,tirzepatide,"INJECTION, SOLUTION",SUBCUTANEOUS,20231108,,NDA,NDA217806,Eli Lilly and Company,TIRZEPATIDE,7.5,mg/.5mL,"G-Protein-linked Receptor Interactions [MoA], GLP-1 Receptor Agonist [EPC], Glucagon-like Peptide-1 (GLP-1) Agonists [MoA], Glucose-dependent Insulinotropic Polypeptide Receptor Agonist [EPC]",,N,20261231,E11.9,"[{""icd10_code"":""E11.9"",""description"":""Type 2 diabetes mellitus without complications"",""confidence"":0.7,""context"":""diabetes indication""},{""icd10_code"":""E66.9"",""description"":""Obesity, unspecified"",""confidence"":0.25,""context"":""weight management (Zepbound)""},{""icd10_code"":""E11.69"",""description"":""Type 2 diabetes with other specified complication"",""confidence"":0.05,""context"":""complex diabetes""}]",0.70
0002-1220,HUMAN PRESCRIPTION DRUG,TAUVID,,Flortaucipir F-18,"INJECTION, SOLUTION",INTRAVENOUS,20220701,,NDA,NDA212123,Eli Lilly and Company,FLORTAUCIPIR F-18,100,mCi/mL,,,N,20251231,Z51.81,"[{""icd10_code"":""Z51.81"",""description"":""Encounter for therapeutic drug level monitoring"",""confidence"":0.1,""context"":""generic drug therapy""}]",0.10
0002-1243,HUMAN PRESCRIPTION DRUG,MOUNJARO,,tirzepatide,"INJECTION, SOLUTION",SUBCUTANEOUS,20230728,,NDA,NDA215866,Eli Lilly and Company,TIRZEPATIDE,5,mg/.5mL,"G-Protein-linked Receptor Interactions [MoA], GLP-1 Receptor Agonist [EPC], Glucagon-like Peptide-1 (GLP-1) Agonists [MoA], Glucose-dependent Insulinotropic Polypeptide Receptor Agonist [EPC]",,N,20261231,E11.9,"[{""icd10_code"":""E11.9"",""description"":""Type 2 diabetes mellitus without complications"",""confidence"":0.7,""context"":""diabetes indication""},{""icd10_code"":""E66.9"",""description"":""Obesity, unspecified"",""confidence"":0.25,""context"":""weight management (Zepbound)""},{""icd10_code"":""E11.69"",""description"":""Type 2 diabetes with other specified complication"",""confidence"":0.05,""context"":""complex diabetes""}]",0.70
0002-1340,HUMAN PRESCRIPTION DRUG,Zepbound,,tirzepatide,"INJECTION, SOLUTION",SUBCUTANEOUS,20231108,,NDA,NDA217806,Eli Lilly and Company,TIRZEPATIDE,10,mg/.5mL,"G-Protein-linked Receptor Interactions [MoA], GLP-1 Receptor Agonist [EPC], Glucagon-like Peptide-1 (GLP-1) Agonists [MoA], Glucose-dependent Insulinotropic Polypeptide Receptor Agonist [EPC]",,N,20261231,E11.9,"[{""icd10_code"":""E11.9"",""description"":""Type 2 diabetes mellitus without complications"",""confidence"":0.7,""context"":""diabetes indication""},{""icd10_code"":""E66.9"",""description"":""Obesity, unspecified"",""confidence"":0.25,""context"":""weight management (Zepbound)""},{""icd10_code"":""E11.69"",""description"":""Type 2 diabetes with other specified complication"",""confidence"":0.05,""context"":""complex diabetes""}]",0.70
