NDC,PRODUCTTYPENAME,PROPRIETARYNAME,PROPRIETARYNAMESUFFIX,NONPROPRIETARYNAME,DOSAGEFORMNAME,ROUTENAME,STARTMARKETINGDATE,ENDMARKETINGDATE,MARKETINGCATEGORYNAME,APPLICATIONNUMBER,LABELERNAME,SUBSTANCENAME,ACTIVE_NUMERATOR_STRENGTH,ACTIVE_INGRED_UNIT,PHARM_CLASSES,DEASCHEDULE,NDC_EXCLUDE_FLAG,LISTING_RECORD_CERTIFIED_THROUGH,PRIMARY_ICD10,ALL_ICD10_MAPPINGS,MAPPING_CONFIDENCE
0143-9743,HUMAN PRESCRIPTION DRUG,Oxytocin,,Oxytocin,INJECTION,INTRAMUSCULAR; INTRAVENOUS,20130213,,ANDA,ANDA200219,West-Ward Pharmaceuticals Corp,OXYTOCIN,10,[USP'U]/mL,"Increased Uterine Smooth Muscle Contraction or Tone [PE], Oxytocic [EPC], Oxytocin [CS]",,N,20251231,Z51.81,"[{""icd10_code"":""Z51.81"",""description"":""Encounter for therapeutic drug level monitoring"",""confidence"":0.1,""context"":""generic drug therapy""}]",0.10
0143-9744,HUMAN PRESCRIPTION DRUG,Granisetron Hydrochloride,,Granisetron Hydrochloride,INJECTION,INTRAVENOUS,20091223,,ANDA,ANDA078629,Hikma Pharmaceuticals USA Inc.,GRANISETRON HYDROCHLORIDE,1,mg/mL,"Serotonin 3 Receptor Antagonists [MoA], Serotonin-3 Receptor Antagonist [EPC]",,N,20251231,Z51.81,"[{""icd10_code"":""Z51.81"",""description"":""Encounter for therapeutic drug level monitoring"",""confidence"":0.1,""context"":""generic drug therapy""}]",0.10
0143-9745,HUMAN PRESCRIPTION DRUG,Granisetron Hydrochloride,,Granisetron Hydrochloride,INJECTION,INTRAVENOUS,20091223,,ANDA,ANDA078629,Hikma Pharmaceuticals USA Inc.,GRANISETRON HYDROCHLORIDE,1,mg/mL,"Serotonin 3 Receptor Antagonists [MoA], Serotonin-3 Receptor Antagonist [EPC]",,N,20251231,Z51.81,"[{""icd10_code"":""Z51.81"",""description"":""Encounter for therapeutic drug level monitoring"",""confidence"":0.1,""context"":""generic drug therapy""}]",0.10
0143-9746,HUMAN PRESCRIPTION DRUG,Terbutaline Sulfate,,Terbutaline Sulfate,INJECTION,SUBCUTANEOUS,20090520,,ANDA,ANDA078630,Hikma Pharmaceuticals USA Inc.,TERBUTALINE SULFATE,1,mg/mL,,,N,20251231,Z51.81,"[{""icd10_code"":""Z51.81"",""description"":""Encounter for therapeutic drug level monitoring"",""confidence"":0.1,""context"":""generic drug therapy""}]",0.10
0143-9750,HUMAN PRESCRIPTION DRUG,TESTOSTERONE ENANTHATE,,TESTOSTERONE ENANTHATE,"INJECTION, SOLUTION",INTRAMUSCULAR,20120918,,ANDA,ANDA091120,Hikma Pharmaceuticals USA Inc.,TESTOSTERONE ENANTHATE,200,mg/mL,"Androgen Receptor Agonists [MoA], Androgen [EPC], Androstanes [CS]",CIII,N,20251231,Z51.81,"[{""icd10_code"":""Z51.81"",""description"":""Encounter for therapeutic drug level monitoring"",""confidence"":0.1,""context"":""generic drug therapy""}]",0.10
0143-9753,HUMAN PRESCRIPTION DRUG,Methylprednisolone Sodium Succinate,,Methylprednisolone Sodium Succinate,"INJECTION, POWDER, FOR SOLUTION",INTRAMUSCULAR; INTRAVENOUS,20220926,,ANDA,ANDA203125,Hikma Pharmaceuticals USA Inc.,METHYLPREDNISOLONE SODIUM SUCCINATE,40,mg/1,"Corticosteroid Hormone Receptor Agonists [MoA], Corticosteroid [EPC]",,N,20261231,Z51.81,"[{""icd10_code"":""Z51.81"",""description"":""Encounter for therapeutic drug level monitoring"",""confidence"":0.1,""context"":""generic drug therapy""}]",0.10
0143-9754,HUMAN PRESCRIPTION DRUG,Methylprednisolone Sodium Succinate,,Methylprednisolone Sodium Succinate,"INJECTION, POWDER, FOR SOLUTION",INTRAMUSCULAR; INTRAVENOUS,20220926,,ANDA,ANDA203125,Hikma Pharmaceuticals USA Inc.,METHYLPREDNISOLONE SODIUM SUCCINATE,125,mg/1,"Corticosteroid Hormone Receptor Agonists [MoA], Corticosteroid [EPC]",,N,20261231,Z51.81,"[{""icd10_code"":""Z51.81"",""description"":""Encounter for therapeutic drug level monitoring"",""confidence"":0.1,""context"":""generic drug therapy""}]",0.10
0143-9782,HUMAN PRESCRIPTION DRUG,Fosphenytoin Sodium,,Fosphenytoin Sodium,"INJECTION, SOLUTION",INTRAMUSCULAR; INTRAVENOUS,20091202,,ANDA,ANDA078765,West-Ward Pharmaceuticals Corp,FOSPHENYTOIN SODIUM,50,mg/mL,"Anti-epileptic Agent [EPC], Cytochrome P450 1A2 Inducers [MoA], Cytochrome P450 2B6 Inducers [MoA], Cytochrome P450 2C19 Inducers [MoA], Cytochrome P450 2C8 Inducers [MoA], Cytochrome P450 2C9 Inducers [MoA], Cytochrome P450 2D6 Inducers [MoA], Cytochrome P450 3A Inducers [MoA], Decreased Central Nervous System Disorganized Electrical Activity [PE]",,N,20251231,Z51.81,"[{""icd10_code"":""Z51.81"",""description"":""Encounter for therapeutic drug level monitoring"",""confidence"":0.1,""context"":""generic drug therapy""}]",0.10
0143-9783,HUMAN PRESCRIPTION DRUG,Flumazenil,,flumazenil,"INJECTION, SOLUTION",INTRAVENOUS,20070101,,ANDA,ANDA078527,Hikma Pharmaceuticals USA Inc.,FLUMAZENIL,0.1,mg/mL,Benzodiazepine Antagonist [EPC],,N,20251231,Z51.81,"[{""icd10_code"":""Z51.81"",""description"":""Encounter for therapeutic drug level monitoring"",""confidence"":0.1,""context"":""generic drug therapy""}]",0.10
0143-9784,HUMAN PRESCRIPTION DRUG,Flumazenil,,flumazenil,"INJECTION, SOLUTION",INTRAVENOUS,20070101,,ANDA,ANDA078527,Hikma Pharmaceuticals USA Inc.,FLUMAZENIL,0.1,mg/mL,Benzodiazepine Antagonist [EPC],,N,20251231,Z51.81,"[{""icd10_code"":""Z51.81"",""description"":""Encounter for therapeutic drug level monitoring"",""confidence"":0.1,""context"":""generic drug therapy""}]",0.10
0143-9785,HUMAN PRESCRIPTION DRUG,Valproate Sodium,,Valproate Sodium,INJECTION,INTRAVENOUS,20100217,,ANDA,ANDA078523,Hikma Pharmaceuticals USA Inc.,VALPROATE SODIUM,500,mg/5mL,"Anti-epileptic Agent [EPC], Decreased Central Nervous System Disorganized Electrical Activity [PE], Mood Stabilizer [EPC]",,N,20251231,Z51.81,"[{""icd10_code"":""Z51.81"",""description"":""Encounter for therapeutic drug level monitoring"",""confidence"":0.1,""context"":""generic drug therapy""}]",0.10
