NDC,PRODUCTTYPENAME,PROPRIETARYNAME,PROPRIETARYNAMESUFFIX,NONPROPRIETARYNAME,DOSAGEFORMNAME,ROUTENAME,STARTMARKETINGDATE,ENDMARKETINGDATE,MARKETINGCATEGORYNAME,APPLICATIONNUMBER,LABELERNAME,SUBSTANCENAME,ACTIVE_NUMERATOR_STRENGTH,ACTIVE_INGRED_UNIT,PHARM_CLASSES,DEASCHEDULE,NDC_EXCLUDE_FLAG,LISTING_RECORD_CERTIFIED_THROUGH,PRIMARY_ICD10,ALL_ICD10_MAPPINGS,MAPPING_CONFIDENCE
0067-0109,HUMAN OTC DRUG,Theraflu,Severe Congestion Relief Cooling Nasal Mist,Oxymetazoline HCl,SPRAY,NASAL,20250601,,OTC MONOGRAPH DRUG,M012,Haleon US Holdings LLC,OXYMETAZOLINE HYDROCHLORIDE,0.5,mg/mL,"Imidazolines [CS], Increased Sympathetic Activity [PE], Vasoconstriction [PE], Vasoconstrictor [EPC]",,N,20261231,Z51.81,"[{""icd10_code"":""Z51.81"",""description"":""Encounter for therapeutic drug level monitoring"",""confidence"":0.1,""context"":""generic drug therapy""}]",0.10
0067-0110,HUMAN OTC DRUG,Theraflu,Severe Congestion Relief Nasal Mist,Oxymetazoline HCl,SPRAY,NASAL,20250601,,OTC MONOGRAPH DRUG,M012,Haleon US Holdings LLC,OXYMETAZOLINE HYDROCHLORIDE,0.5,mg/mL,"Imidazolines [CS], Increased Sympathetic Activity [PE], Vasoconstriction [PE], Vasoconstrictor [EPC]",,N,20261231,Z51.81,"[{""icd10_code"":""Z51.81"",""description"":""Encounter for therapeutic drug level monitoring"",""confidence"":0.1,""context"":""generic drug therapy""}]",0.10
0067-0111,HUMAN OTC DRUG,Theraflu,Severe Cold Relief Soft Chews,"Acetaminophen, Dextromethorphan HBr","TABLET, CHEWABLE",ORAL,20240619,,OTC MONOGRAPH DRUG,M012,Haleon US Holdings LLC,ACETAMINOPHEN; DEXTROMETHORPHAN HYDROBROMIDE,325; 10,mg/1; mg/1,"Sigma-1 Agonist [EPC], Sigma-1 Receptor Agonists [MoA], Uncompetitive N-methyl-D-aspartate Receptor Antagonist [EPC], Uncompetitive NMDA Receptor Antagonists [MoA]",,N,20251231,Z51.81,"[{""icd10_code"":""Z51.81"",""description"":""Encounter for therapeutic drug level monitoring"",""confidence"":0.1,""context"":""generic drug therapy""}]",0.10
0067-0112,HUMAN OTC DRUG,Theraflu,Severe Cold Relief Nighttime Soft Chews,"Acetaminophen, Diphenhydramine HCl","TABLET, CHEWABLE",ORAL,20240930,,OTC MONOGRAPH DRUG,M012,Haleon US Holdings LLC,ACETAMINOPHEN; DIPHENHYDRAMINE HYDROCHLORIDE,325; 12.5,mg/1; mg/1,"Histamine H1 Receptor Antagonists [MoA], Histamine-1 Receptor Antagonist [EPC]",,N,20251231,Z51.81,"[{""icd10_code"":""Z51.81"",""description"":""Encounter for therapeutic drug level monitoring"",""confidence"":0.1,""context"":""generic drug therapy""}]",0.10
0067-0114,HUMAN OTC DRUG,Theraflu-D Flu Relief Max Strength plus Nasal Decongestant,Nighttime,"Acetaminophen, Chlorpheniramine maleate, Dextromethorphan HBr, Pseudoephedrine HCl",SYRUP,ORAL,20240619,,OTC MONOGRAPH DRUG,M012,Haleon US Holdings LLC,ACETAMINOPHEN; CHLORPHENIRAMINE MALEATE; DEXTROMETHORPHAN HYDROBROMIDE; PSEUDOEPHEDRINE HYDROCHLORIDE,1000; 4; 30; 60,mg/30mL; mg/30mL; mg/30mL; mg/30mL,"Adrenergic alpha-Agonists [MoA], Histamine H1 Receptor Antagonists [MoA], Histamine-1 Receptor Antagonist [EPC], Sigma-1 Agonist [EPC], Sigma-1 Receptor Agonists [MoA], Uncompetitive N-methyl-D-aspartate Receptor Antagonist [EPC], Uncompetitive NMDA Receptor Antagonists [MoA], alpha-Adrenergic Agonist [EPC]",,N,20251231,Z51.81,"[{""icd10_code"":""Z51.81"",""description"":""Encounter for therapeutic drug level monitoring"",""confidence"":0.1,""context"":""generic drug therapy""}]",0.10
0067-0115,HUMAN OTC DRUG,Theraflu-D Flu Relief Max Strength plus Nasal Decongestant,,"Acetaminophen, Dextromethorphan HBr, Pseudoephedrine HCl",SYRUP,ORAL,20240619,,OTC MONOGRAPH DRUG,M012,Haleon US Holdings LLC,ACETAMINOPHEN; DEXTROMETHORPHAN HYDROBROMIDE; PSEUDOEPHEDRINE HYDROCHLORIDE,1000; 30; 60,mg/30mL; mg/30mL; mg/30mL,"Adrenergic alpha-Agonists [MoA], Sigma-1 Agonist [EPC], Sigma-1 Receptor Agonists [MoA], Uncompetitive N-methyl-D-aspartate Receptor Antagonist [EPC], Uncompetitive NMDA Receptor Antagonists [MoA], alpha-Adrenergic Agonist [EPC]",,N,20251231,Z51.81,"[{""icd10_code"":""Z51.81"",""description"":""Encounter for therapeutic drug level monitoring"",""confidence"":0.1,""context"":""generic drug therapy""}]",0.10
0067-0117,HUMAN OTC DRUG,Gas-X,Extra Strength,Simethicone,"TABLET, CHEWABLE",ORAL,20120101,,OTC MONOGRAPH DRUG,M002,Haleon US Holdings LLC,"DIMETHICONE, UNSPECIFIED",125,mg/1,Skin Barrier Activity [PE],,N,20251231,Z51.81,"[{""icd10_code"":""Z51.81"",""description"":""Encounter for therapeutic drug level monitoring"",""confidence"":0.1,""context"":""generic drug therapy""}]",0.10
0067-0118,HUMAN OTC DRUG,Gas-X,Total Relief Maximum Strength,"Calcium carbonate, Simethicone","TABLET, CHEWABLE",ORAL,20220203,,OTC MONOGRAPH DRUG,M001,Haleon US Holdings LLC,"CALCIUM CARBONATE; DIMETHICONE, UNSPECIFIED",750; 250,mg/1; mg/1,Skin Barrier Activity [PE],,N,20261231,Z51.81,"[{""icd10_code"":""Z51.81"",""description"":""Encounter for therapeutic drug level monitoring"",""confidence"":0.1,""context"":""generic drug therapy""}]",0.10
0067-0119,HUMAN OTC DRUG,Gas-X,Total Relief Maximum Strength,"Calcium carbonate, Simethicone","TABLET, CHEWABLE",ORAL,20220203,,OTC MONOGRAPH DRUG,M001,Haleon US Holdings LLC,CALCIUM CARBONATE; DIMETHICONE,750; 250,mg/1; mg/1,Skin Barrier Activity [PE],,N,20251231,Z51.81,"[{""icd10_code"":""Z51.81"",""description"":""Encounter for therapeutic drug level monitoring"",""confidence"":0.1,""context"":""generic drug therapy""}]",0.10
0067-0122,HUMAN OTC DRUG,Theraflu,Severe Cold Relief Combo Pack,"acetaminophen, dextromethorphan hbr, diphenhydramine hcl",KIT,,20240415,,OTC MONOGRAPH DRUG,M012,Haleon US Holdings LLC,,,,,,N,20251231,Z51.81,"[{""icd10_code"":""Z51.81"",""description"":""Encounter for therapeutic drug level monitoring"",""confidence"":0.1,""context"":""generic drug therapy""}]",0.10
